         4961337 function calls (4847356 primitive calls) in 4.170 seconds

   Ordered by: internal time
   List reduced from 6866 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10600    0.009    0.000    0.009    0.000 {built-in method numpy.array}
     9099    0.008    0.000    0.020    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\transforms.py:1899(__init__)
      177    0.008    0.000    0.011    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    19625    0.008    0.000    0.009    0.000 {built-in method numpy.asarray}
    52128    0.008    0.000    0.012    0.000 C:\Users\DJAVE\OneDrive - HydraSpecma\Documents\GitHub\pyees\pyees\variable.py:646(__hash__)
    17641    0.008    0.000    0.011    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\_api\__init__.py:99(check_in_list)
    928/1    0.008    0.000    4.148    4.148 {built-in method builtins.exec}
      998    0.008    0.000    0.055    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\lines.py:743(draw)
    24675    0.008    0.000    0.008    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\transforms.py:113(__init__)
      352    0.008    0.000    0.054    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\ticker.py:2100(_raw_ticks)
     6391    0.008    0.000    0.010    0.000 C:\Users\DJAVE\OneDrive - HydraSpecma\Documents\GitHub\pyees\pyees\unit.py:549(_reduceDict)
     3252    0.007    0.000    0.051    0.000 C:\Users\DJAVE\OneDrive - HydraSpecma\Documents\GitHub\pyees\pyees\unit.py:438(__init__)
      110    0.007    0.000    0.007    0.000 {built-in method nt.listdir}
      374    0.007    0.000    0.007    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
    16632    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
      872    0.007    0.000    0.521    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
     1031    0.007    0.000    0.202    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    32867    0.007    0.000    0.010    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:168(__getitem__)
     6183    0.007    0.000    0.011    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\font_manager.py:1120(score_family)
     3965    0.007    0.000    0.008    0.000 C:\Users\DJAVE\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\transforms.py:182(set_children)
      279    0.007    0.000    0.009    0.000 {built-in method builtins.eval}
23542/23372    0.007    0.000    0.007    0.000 {method 'update' of 'dict' objects}


